db_rowid,original,formatted_variant,suggested_reference,similarity_score
74249,Почтовый пер,пер. Почтовый,пер.Портовый,87.5
74268,Волхлвская,ул. Волхлвская,Волховская,90.0
74456,Зацева,ул. Зацева,Зайцева,92.31
74475,Линдв-27,ул. Линдв-27,Линда-27,87.5
74481,Котина,ул. Котина,Костина,92.31
74552,Фармовочная,ул. Фармовочная,Формовочная,90.91
74553,Станмславского,ул. Станмславского,Станиславского,92.86
74733,2-я Волжская,ул. 2-я Волжская,Волжская,80.0
74745,Культур,ул. Культур,Культуры,93.33
74747,Капринского,ул. Капринского,Карпинского,90.91
74786,Полехская,ул. Полехская,Полесская,88.89
74859,Чертановская,ул. Чертановская,Черниговская,83.33
74891,40 лет Пионерс.организ.,ул. 40 лет Пионерс.организ,40 лет Пион.организации,84.44
75000,Абрамова,ул. Абрамова,Храмова,80.0
75094,2я Линия,ул. 2я Линия,2 Линия,93.33
75317,Яблочная,ул. Яблочная,Яблоневая,82.35
75531,4-я Заречная,ул. 4-я Заречная,Заречная,80.0
75577,бр.Заречный,ул. Бр.Заречный,Б.Заречный,95.24
75607,Бирюзова,ул. Бирюзова,Брюсова,80.0
75613,Н..Гастелло,ул. Н..Гастелло,Н.Гастелло,95.24
75621,И.-Чугурина,ул. И.-Чугурина,И.Чугурина,95.24
75695,Кузнецная,ул. Кузнецная,Кузнецкая,88.89
75811,Гордеевская20,ул. Гордеевская20,Гордеевская,91.67
75873,Спотивная,ул. Спотивная,Спортивная,94.74
75922,Чекина,ул. Чекина,Челюскина,80.0
76098,Большая Линия,ул. Большая Линия,Большая линия,92.31
76106,Угловая,ул. Угловая,Углова,92.31
76212,Керческая,ул. Керческая,Керченская,94.74
76385,Пекинская,ул. Пекинская,Пушкинская,84.21
76399,обачевского,ул. Обачевского,Лобачевского,86.96
76415,Сл.подновье,ул. Сл.подновье,Сл.Подновье,90.91
76459,Наб.им.Федоровского,наб. Им.Федоровского,Наб.Федоровского,88.89
76778,пр-кт Кораблестроитеоей,пр-кт Кораблестроитеоей,пр-кт Кораблестроителей,94.12
76872,Ев.Никонова,ул. Ев.Никонова,Евг.Никонова,95.65
76964,тер.СНТ Сокол №3,СНТ Тер. Сокол №3,тер.СНТ Сокол сад№1,82.76
77073,ш.Сормовский,ш. Сормовский,Сормовское шоссе,80.0
77175,Пркатная,ул. Пркатная,Прокатная,94.12
77279,Вилкова,ул. Вилкова,Волкова,85.71
77341,Народная стройка,ул. Народная стройка,Народная Стройка,93.75
77485,Кольцевая 1-я,ул. Кольцевая 1-я,Кольцевая,81.82
77499,им.героя Давыдова,ул. Им.героя Давыдова,Им.Героя Давыдова,94.12
77807,Механизатороа,ул. Механизатороа,Механизаторов,92.31
77828,3 Северная,ул. 3 Северная,Северная,88.89
77956,Шишкова Вячеславович,ул. Шишкова Вячеславович,Шишкова Вячеслава,86.49
78054,100,ул. 100,10,80.0
78103,Коломенксая,ул. Коломенксая,Коломенская,90.91
78283,пос.Мостооряд,пос. Мостооряд,пос.Мостоотряд,94.74
78313,Беелозерская,ул. Беелозерская,Белозерская,95.65
78359,25 линия,ул. 25 линия,2 линия,93.33
78411,Гаугегя,ул. Гаугегя,Гаугеля,85.71
78559,Бегевая,ул. Бегевая,Беговая,85.71
78560,Чеоксарская,ул. Чеоксарская,Чебоксарская,95.65
78580,проспект Бурнаковский,пр-кт Бурнаковский,пр-д Бурнаковский,92.31
78901,Мончагорская,ул. Мончагорская,Мончегорская,91.67
78917,Е.мирошникова,ул. Е.мирошникова,Е.Мирошникова,92.31
78940,Комиссарова,ул. Комиссарова,Комарова,84.21
78957,Золотовская,ул. Золотовская,Молитовская,81.82
78980,Робеспьра,ул. Робеспьра,Робеспьера,94.74
78997,МКР 12-й,мкр. 12-й,мкр 2-й,85.71
79007,Ямская,ул. Ямская,М.Ямская,85.71
79061,Лоскутов,ул. Лоскутов,Лоскутова,94.12
79196,Троицкого,ул. Троицкого,Урицкого,82.35
79275,Октчбрьская,ул. Октчбрьская,Октябрьская,90.91
79302,Кашина,ул. Кашина,Краюшкина,80.0
79309,5-я Северная,ул. 5-я Северная,9-я Северная,91.67
79345,Кишеневская,ул. Кишеневская,Кишиневская,90.91
79363,Терновского,ул. Терновского,Черняховского,83.33
79364,Земляничный,ул. Земляничный,Земляничная,81.82
79430,Наб.Им.Федоровского,наб. Им.Федоровского,Наб.Федоровского,88.89
79435,Комаровского,ул. Комаровского,Воровского,81.82
79551,40 лет Пионер.организ.,ул. 40 лет Пионер.организ,40 лет Пион.организации,86.36
79555,Г.Шитникова,ул. Г.Шитникова,Г.Шнитникова,95.65
79578,50-летия Октября,ул. 50-летия Октября,60-летия Октября,93.75
79603,Ученическая,ул. Ученическая,Техническая,81.82
79623,2-я Нагорная,ул. 2-я Нагорная,Нагорная,80.0
79694,Эенгельса,ул. Эенгельса,Энгельса,94.12
79734,еройская,ул. Еройская,Геройская,82.35
79749,Кочкуровская,ул. Кочкуровская,Кокшаровская,83.33
79751,Коваленко,ул. Коваленко,Кораленко,88.89
79901,Я.Купала,ул. Я.Купала,Я.Купалы,87.5
79972,Бориса панина,ул. Бориса панина,Бориса Панина,92.31
80148,Интернационалистов,ул. Интернационалистов,В.Интернационалистов,94.74
80172,Варшавская,ул. Варшавская,Варварская,80.0
80202,Нвродная,ул. Нвродная,Народная,87.5
80258,Генерала Васюнина,ул. Генерала Васюнина,Генерала Веденина,82.35
80282,Политотделовская,ул. Политотделовская,Политотдельская,90.32
80487,Каслинская,ул. Каслинская,Таллинская,80.0
80625,Баргузинская,ул. Баргузинская,Грузинская,81.82
80696,Дмитрия Павлович,ул. Дмитрия Павлович,Дмитрия Павлова,90.32
80901,Чаадаеева,ул. Чаадаеева,Чаадаева,94.12
81078,Рамонятская,ул. Рамонятская,Раменская,80.0
81330,1Линия,ул. 1Линия,1-я Линия,80.0
81350,Краского,ул. Краского,Крамского,94.12
81357,Черноярская,ул. Черноярская,Черноморская,86.96
81384,3-я Вокзальная,ул. 3-я Вокзальная,Вокзальная,83.33
81419,Бкзрукова,ул. Бкзрукова,Безрукова,88.89
81498,Агрохимическая,ул. Агрохимическая,Агрономическая,85.71
81499,героя Советского Союза Боченко,ул. Героя Советского Союза Боченко,Героя Советского Союза Сафроно,86.67
81523,Гауеля,ул. Гауеля,Гаугеля,92.31
81677,Рудковского,ул. Рудковского,Жуковского,85.71
81766,Черняхорского,ул. Черняхорского,Черняховского,92.31
81886,Краснхы Зорь,ул. Краснхы Зорь,Красны Зорь,95.65
81939,Дубравная 5-я линия,ул. Дубравная 5-я линия,Дубравная 5 линия,94.44
82031,Льва Лолстого,ул. Льва Лолстого,Льва Толстого,92.31
82074,Добровольская,ул. Добровольская,Добровольческая,92.86
82077,Добросельская,ул. Добросельская,Новосельская,80.0
82146,Мечнгикова,ул. Мечнгикова,Мечникова,94.74
82262,Мукайская,ул. Мукайская,Майская,87.5
82345,Кутузовская,ул. Кутузовская,Кутузова,84.21
82372,Островскрого,ул. Островскрого,Островского,95.65
82449,Федосеенк,ул. Федосеенк,Федосеенко,94.74
82571,Малахова,ул. Малахова,Малова,85.71
82576,олотникова,ул. Олотникова,Плотникова,90.0
82692,павла мочалова,ул. Павла мочалова,Павла Мочалова,92.86
82836,Байкальская,ул. Байкальская,Забайкальская,83.33
82850,Гаревая,ул. Гаревая,Грушевая,80.0
82852,Голева,ул. Голева,Голубева,85.71
82862,Кироава,ул. Кироава,Кирова,92.31
82898,К.Либкиехта,ул. К.Либкиехта,К.Либкнехта,90.91
82927,К.Перовского,ул. К.Перовского,Петровского,86.96
82930,2-я Пролетарская,ул. 2-я Пролетарская,Пролетарская,85.71
82974,Загорная,ул. Загорная,Загородная,88.89
82987,60 лет Победы,ул. 60 лет Победы,40 лет Победы,92.31
83080,р-кт Кораблестроителей,ул. Р-кт Кораблестроителей,Кораблестроителей,87.18
83224,Попедная,ул. Попедная,Победная,87.5
83306,Ярославка,ул. Ярославка,Ярославская,90.0
83333,Сетрорецкая,ул. Сетрорецкая,Петродворецкая,80.0
83408,Евгения Николаевна,ул. Евгения Николаевна,Евгения Никонова,82.35
83465,Черкасская,ул. Черкасская,Черкесская,90.0
83476,Коробкова,ул. Коробкова,Корякова,82.35
83480,прос.50 лет Октября,ул. Прос.50 лет Октября,50 лет Октября,84.85
83501,Поспелова,ул. Поспелова,Попова,80.0
83503,Милецейская,ул. Милецейская,Милицейская,90.91
83504,Лагуновская,ул. Лагуновская,Пановская,80.0
83520,линия 27 я,ул. Линия 27 я,Линия 2-я,84.21
83539,Ульяновский пр,пр-кт Ульяновский,пр-т Ульяновский,91.67
83544,Славянка,ул. Славянка,Славянская,88.89
83561,Челябинская,ул. Челябинская,Белинская,80.0
83657,2я Лесная,ул. 2я Лесная,2-я Лесная,94.74
83699,Рыбаковская,ул. Рыбаковская,Рабфаковская,86.96
83713,Бобкова,ул. Бобкова,Бочкова,85.71
83720,К.Беляева,ул. К.Беляева,Беляева,87.5
83734,Карбыщева,ул. Карбыщева,Карбышева,88.89
83743,11 линия,ул. 11 линия,1 линия,93.33
83758,Мотеростроителей,ул. Мотеростроителей,Моторостроителей,93.75
83768,Кубанская,ул. Кубанская,Кузбасская,84.21
83775,Каквинская,ул. Каквинская,Канавинская,85.71
83868,2-я Производственная,ул. 2-я Производственная,2 Производственная,94.74
83925,Молодежнаяя,ул. Молодежнаяя,Молодежная,95.24
83972,Каменная,ул. Каменная,Каменская,82.35
83990,Поленова,ул. Поленова,Ползунова,82.35
84219,Братьев Ханаповых,ул. Братьев Ханаповых,Братьев Игнатовых,82.35
84222,Таманская,ул. Таманская,Таганская,88.89
84246,Залесовая,ул. Залесовая,Залесная,82.35
84247,Совхоз,ул. Совхоз,Совхозная,80.0
84364,пр-кт Ульяновский,пр-кт Ульяновский,пр-т Ульяновский,91.67
84369,Зеновая,ул. Зеновая,Зернова,85.71
84372,Ледовская,ул. Ледовская,Линдовская,84.21
84375,пр.Ульяновкий,пр-кт Ульяновкий,пр-т Ульяновский,86.96
84437,Барабанова,ул. Барабанова,Баранова,88.89
84475,Трековская,ул. Трековская,Третьяковская,86.96
84639,Сормовскае шоссе,ш. Сормовскае,Сормовское шоссе,90.0
84840,Западный обход,ул. Западный обход,Западный городок,80.0
84928,пр.Ленин.Комсомола,пр-кт Ленин.Комсомола,пр.Лен.Комсомола,92.86
84977,Р.Удриса,ул. Р.Удриса,Удриса,85.71
85085,Красных Зозь,ул. Красных Зозь,Красных Зорь,91.67
85217,пр.К.Рачкова,пр-кт К.Рачкова,пр.кап.Рачкова,90.0
85510,Героев пр-т,пр-кт Героев -т,пр-кт Героев,80.0
85519,Героя Совет.Союза Бахтина,ул. Героя Совет.Союза Бахтина,Героя Советского Союза Бахтина,87.27
85569,11-я линия,ул. 11-я линия,1-я линия,94.74
85586,пр-т Бусыгина,пр-кт Т Бусыгина,пр.Бусыгина,88.89
85594,Мостооряд п,пос. Мостооряд,пос.Мостоотряд,94.74
85694,Ст. пески,ул. Ст. пески,Ст.Пески,82.35
85698,Катерная,ул. Катерная,Карьерная,82.35
85754,Подворнвая,ул. Подворнвая,Подворная,94.74
85790,Лениена пр-кт,пр-кт Лениена,пр.Ленина,92.31
85837,13-я линия,ул. 13-я линия,1-я линия,94.74
85855,Ячсная,ул. Ячсная,Ясная,90.91
85874,Мельничный пер.,пер. Мельничный,пер.Больничный,80.0
85887,Сергея акимова,ул. Сергея акимова,Сергея Акимова,92.86
85990,Дружба кв,ул. Дружба кв,Дружба,80.0
86022,Лобаческого,ул. Лобаческого,Лобачевского,95.65
86082,Лениа пр,пр-кт Лениа,пр.Ленина,90.91
86119,Барнеца,ул. Барнеца,Баренца,85.71
86320,Бутлерово,ул. Бутлерово,Бутлерова,88.89
86816,Овощная,ул. Овощная,Обводная,80.0
87184,Н.Суслововй,ул. Н.Суслововй,Н.Сусловой,95.24
87222,Шохина,ул. Шохина,Шорина,83.33
87224,Лучинская,ул. Лучинская,Лунская,87.5
87255,Кркстьянская,ул. Кркстьянская,Крестьянская,91.67
87257,Родимова,ул. Родимова,Родионова,82.35
87426,Ульяновск,ул. Ульяновск,Ульяновская,90.0
87499,1-ый микрорайон,мкр. 1-ый,МКР 1-й,85.71
87815,бульв. 60-летия Октября,ул. Бульв. 60-летия Октября,60-летия Октября,82.05
87831,пр-ктБусыгина,пр-кт КтБусыгина,пр.Бусыгина,88.89
88082,сполкома,ул. Сполкома,ул.Исполкома,82.35
88123,Марата,ул. Марата,8Марта,83.33
88322,кв Северный,ул. Кв Северный,кв-л Северный,91.67
88460,Героя Советского Союза Поющего,ул. Героя Советского Союза Поющего,Героя Советского Союза Поющева,93.33
88541,Ляхановка,ул. Ляхановка,Ляхова,80.0
88702,Чекунова,ул. Чекунова,Чернова,80.0
88718,Панковая,ул. Панковая,Парковая,87.5
88721,Парковская,ул. Парковская,Парковая,88.89
88792,Нпродная,ул. Нпродная,Народная,87.5
88802,пр-кт Кораблкстроитклей,пр-кт Кораблкстроитклей,пр-кт Кораблестроитлей,90.91
88957,Им.Мельникова-Печерского,ул. Им.Мельникова-Печерского,Мельникова-Печерского,93.33
89014,Им Фадеева,ул. Им Фадеева,Фадеева,82.35
89041,Борадина,ул. Борадина,Бородина,87.5
89057,Георя Рябцева,ул. Георя Рябцева,Героя Рябцева,92.31
89108,Федосеено,ул. Федосеено,Федосеенко,94.74
89207,Провиантная,ул. Провиантная,Провиантская,86.96
89473,Им Тимирязева,ул. Им Тимирязева,Тимирязева,86.96
89674,Кадамовская,ул. Кадамовская,Касимовская,81.82
89710,3 Интернационал,ул. 3 Интернационал,Интернациональная,81.25
89712,Медицынская,ул. Медицынская,Медицинская,90.91
89764,"СНТ ""Мечта""","СНТ ""Мечта""",снт Мечта,83.33
89770,имени генерала Ивлиева И.Д.14к,д. Имени генерала Ивлиева И.14к,имени Генерала Ивлиева И.Д.,88.46
89855,Волжанская,ул. Волжанская,Должанская,90.0
90214,Союзнй пр-кт,пр-кт Союзнй,пр-кт Союзный,92.31
90402,Я.Петрова,ул. Я.Петрова,Петрова,87.5
90453,Премудрва,ул. Премудрва,Премудрова,94.74
90584,линия 6-я,ул. Линия 6-я,Линия 2-я,88.89
90619,Знаменка,ул. Знаменка,Знаменская,88.89
90738,Биробиджаеская,ул. Биробиджаеская,Биробиджанская,92.86
90778,Сл.Александровская,ул. Сл.Александровская,Александровская,90.91
90793,Бермская,ул. Бермская,Пермская,87.5
90807,Щербинки-1Мкр,ул. Щербинки-1Мкр,Щербинки-1мкр.,92.31
90824,пр-ктСвердлова,пр-кт КтСвердлова,пр-кт Свердлова,90.0
90833,б.Космонавтов,ул. Б.Космонавтов,Космонавтов,91.67
90875,Шахтеров,ул. Шахтеров,Вахтерова,82.35
91103,Генерала Чумаченко,ул. Генерала Чумаченко,Генерала Штеменко,80.0
91309,Ианова,ул. Ианова,Иванова,92.31
91320,1-ая Лесная,ул. 1-ая Лесная,1-я Лесная,95.24
91415,пр.Циолковкого,пр-кт Циолковкого,пр.Циолковского,95.65
91457,Ф.Удриса,ул. Ф.Удриса,Удриса,85.71
91529,Маршало Казакова,ул. Маршало Казакова,Маршала Казакова,93.75
91562,Циолковскогопр-кт,ул. Циолковскогопр-кт,Циолковского,82.76
91565,Орлова,ул. Орлова,Орловская,80.0
91615,Дексабристов,ул. Дексабристов,Декабристов,95.65
91673,Воиская,ул. Воиская,Воинская,93.33
91732,им.гароя Давыдова,ул. Им.гароя Давыдова,Им.Героя Давыдова,88.24
91741,Кадышевская,ул. Кадышевская,Малышевская,81.82
91827,Пр-т Бусыгина,пр-кт Т Бусыгина,пр.Бусыгина,88.89
91883,Баидукова,ул. Баидукова,Байдукова,88.89
91923,им.Чкалова,ул. Им.Чкалова,Чкалова,82.35
92026,Протетарская,ул. Протетарская,Пролетарская,91.67
92049,Гребешковой откос,ул. Гребешковой откос,Гребешковский откос,88.89
92131,им.Маршала Рокоссовского,ул. Им.Маршала Рокоссовского,Маршала Рокоссовского,93.33
92136,Чукотсккая,ул. Чукотсккая,Чукотская,94.74
92152,Березовая Пойма,ул. Березовая Пойма,Березовая роща,82.76
92244,Мелькова-Печерского,ул. Мелькова-Печерского,Мельникова-Печерского,95.0
92254,Щербинки 1мкр,ул. Щербинки 1мкр,Щербинки-1мкр.,92.31
92624,окроусова,ул. Окроусова,Мокроусова,84.21
92685,Кирьянова,ул. Кирьянова,Кирова,80.0
92830,Молодежная 2-я,ул. Молодежная 2-я,Молодежная,83.33
92903,Культкры,ул. Культкры,Культуры,87.5
93182,Ухтумского,ул. Ухтумского,Ухтомского,90.0
93338,Мросковское шоссе,ш. Мросковское,Московское шоссе,95.24
93340,Ф.Энегельса,ул. Ф.Энегельса,Ф.Энгельса,95.24
93359,пр-кт Герев,пр-кт Герев,пр-кт Героев,90.91
93374,Городская,ул. Городская,Горская,87.5
93383,Петроищева,ул. Петроищева,Петрищева,94.74
93412,Щербаковская,ул. Щербаковская,Щербакова,85.71
93466,Адмирала Сизова,ул. Адмирала Сизова,Адмирала Нахимова,81.25
93530,Профильная,ул. Профильная,Привольная,80.0
93558,Рионская,ул. Рионская,Рыбинская,82.35
93921,Судостроителей,ул. Судостроителей,Строителей,83.33
93939,Академика Макарова,ул. Академика Макарова,Академика Сахарова,88.89
93988,Новая линия-2,ул. Новая линия-2,Новая линия,91.67
94007,Энгльса,ул. Энгльса,Энгельса,93.33
94021,1ая Оранжерейная,ул. 1ая Оранжерейная,1-я Оранжерейная,93.75
94280,тер.СНТ Сокол сад№4,СНТ Тер. Сокол сад№4,тер.СНТ Сокол сад№1,93.75
94325,Светлярская,ул. Светлярская,Светлоярская,95.65
94347,Героя Советского Союза Василье,ул. Героя Советского Союза Василье,Героя Советского Союза Бахтина,83.33
94429,Зоовражная,ул. Зоовражная,Заовражная,90.0
94503,Маршала Багромяна,ул. Маршала Багромяна,Маршала Баграмяна,94.12
94506,Генерала Марчелова,ул. Генерала Марчелова,Генерала Маргелова,94.44
94570,им.Урицкого,ул. Им.Урицкого,Урицкого,84.21
94673,чекунова,ул. Чекунова,Чернова,80.0
94793,Гер.Космова,ул. Гер.Космова,Гер.Космоса,90.91
95040,пр-т Революции,пр-кт Т Революции,пр.Революции,90.0
95165,Степанца,ул. Степанца,Степная,80.0
95257,Арсеньевка,ул. Арсеньевка,Арсеньева,94.74
95267,Цолковского,ул. Цолковского,Циолковского,95.65
95680,Л-Чайкиной,ул. Л-Чайкиной,Л.Чайкиной,90.0
95946,"снт ""Мечта""","СНТ ""Мечта""",снт Мечта,83.33
96024,п-кт Героев,пос. Кт Героев,П. Героев,80.0
96037,Луговя,ул. Луговя,Луговая,92.31
96048,Ген.Самочкина,ул. Ген.Самочкина,Гер.Самочкина,92.31
96156,Новя,ул. Новя,Новая,88.89
96627,Новобазарная,ул. Новобазарная,Новозапрудная,80.0
96635,2мик-он,ул. 2мик-он,2 мик-он,93.33
96763,15 лет Октября,ул. 15 лет Октября,50 лет Октября,92.86
96793,Балахнинский,ул. Балахнинский,Балахнинская,83.33
96855,Ефремова17,ул. Ефремова17,Ефремова,88.89
97031,Старикова,ул. Старикова,Старчикова,94.74
97043,Георев космоса,ул. Георев космоса,Героев космоса,92.86
97103,Мочегорская,ул. Мочегорская,Мончегорская,95.65
97120,Полбедная,ул. Полбедная,Победная,94.12
97264,Вярхоянская,ул. Вярхоянская,Верхоянская,90.91
97317,3 Вокзальная,ул. 3 Вокзальная,Вокзальная,90.91
97387,8-я Турнирная,ул. 8-я Турнирная,Турнирная,81.82
97411,Стадионная,ул. Стадионная,Станционная,85.71
97415,Головачева,ул. Головачева,Голованова,80.0
97419,Октярьская,ул. Октярьская,Октябрьская,95.24
97443,пр-кт Октяьря,пр-кт Октяьря,пр-кт Октября,85.71
97541,Бородинская,ул. Бородинская,Бородина,84.21
97546,1-я Песчаная,ул. 1-я Песчаная,1-я Лесная,81.82
97549,Горбатовка,ул. Горбатовка,Горбатовская,90.91
97561,пр-ктСоюзный,пр-кт КтСоюзный,пр кт Союзный,94.74
97596,Бюерезовская,ул. Бюерезовская,Березовская,95.65
97724,В.Смирнова,ул. В.Смирнова,Ю.Смирнова,90.0
97932,Культыры,ул. Культыры,Культуры,87.5
97990,Арефьева,ул. Арефьева,Арсеньева,82.35
98010,13 Гвардейская,ул. 13 Гвардейская,Гвардейская,88.0
98076,Б.Зеленый,ул. Б.Зеленый,Б.Юбелейный,80.0
98131,Молчанова,ул. Молчанова,Мочалова,82.35
98190,Московскоеи шосе,ул. Московскоеи шосе,ул.Московское шоссе,93.75
98192,Винновская,ул. Винновская,Линдовская,80.0
98211,пр-к Союзный,пр-кт К Союзный,пр кт Союзный,94.74
98241,Сомовское ш.,ш. Сомовское,Сормовское шоссе,94.74
98571,Тарасова,ул. Тарасова,Саврасова,82.35
98651,Пролетпрская,ул. Пролетпрская,Пролетарская,91.67
98662,Культцры,ул. Культцры,Культуры,87.5
98671,Гвардейев,ул. Гвардейев,Гвардейцев,94.74
98709,Узольская,ул. Узольская,Вольская,82.35
98749,А.Макарова,ул. А.Макарова,А. Макарова,95.24
98780,40 лнт Октября,ул. 40 лнт Октября,40 лет Октября,92.86
98807,3 Интернационала,ул. 3 Интернационала,Интернациональная,84.85
98851,Им.Менделеева,ул. Им.Менделеева,Менделеева,86.96
98865,Литевская,ул. Литевская,Киевская,82.35
98876,Семенова,ул. Семенова,Сеченова,87.5
98929,Подборная,ул. Подборная,Подворная,88.89
98953,Сельсоветская,ул. Сельсоветская,Советская,81.82
99020,им.Генерала клюева,ул. Им.Генерала клюева,им.Генерала Клюева,94.44
99033,Стрелецкая,ул. Стрелецкая,Стрелка,82.35
99052,Б.кузнечная,ул. Б.кузнечная,Б.Кузнечная,90.91
99067,Пер.Качатский,пер. Качатский,пер.Камчатский,94.74
99068,Шверникова,ул. Шверникова,Шверника,88.89
99168,им.Мичурина,ул. Им.Мичурина,Мичурина,84.21
99217,10А,ул. 10А,10,80.0
99272,Терская,ул. Терская,Тверская,93.33
99320,Собзный пр,пр-кт Собзный,пр-кт Союзный,85.71
99347,7-я Северная,ул. 7-я Северная,9-я Северная,91.67
99405,Краснослободская,ул. Краснослободская,Красносормовская,81.25
99435,1 производственная,ул. 1 производственная,2 Производственная,88.89
99442,Им.Гастелло,ул. Им.Гастелло,Н.Гастелло,85.71
99562,раснозвездная,ул. Раснозвездная,Краснозвездная,88.89
99643,Логинова,ул. Логинова,Леонова,80.0
99747,Им.С.Четверикова,ул. Им.С.Четверикова,Четверикова,81.48
99884,8 линия,ул. 8 линия,2 линия,85.71
99897,Тер.СНТ Сокол №4,СНТ Тер. Сокол №4,тер.СНТ Сокол сад№1,82.76
99906,Рожденская,ул. Рожденская,Рождественская,83.33
100139,Орджоникижзе,ул. Орджоникижзе,Орджоникидзе,91.67
100337,А.Крупинова,ул. А.Крупинова,Крупнова,84.21
100374,Пиорогова,ул. Пиорогова,Пирогова,94.12
100383,В.Донская,ул. В.Донская,Воинская,82.35
100423,Молодежная7,ул. Молодежная7,Молодежная,95.24
100645,Поломская,ул. Поломская,Хохломская,84.21
100650,Макаревского,ул. Макаревского,Маковского,81.82
100779,113,ул. 113,11,80.0
100880,им героя Давыдова,ул. Им героя Давыдова,Им Героя Давыдова,94.12
100914,Отломская,ул. Отломская,Омская,80.0
101018,Крисанова,ул. Крисанова,Крановая,82.35
101257,Стаханова,ул. Стаханова,Стахановская,85.71
101267,Дмитрия Паловна,ул. Дмитрия Паловна,Дмитрия Павлова,93.33
101286,2-ая Максима Горького,ул. 2-ая Максима Горького,Максима Горького,86.49
101326,Воробьевская,ул. Воробьевская,Воробьева,85.71
101336,М.орького,ул. М.орького,М.Горького,94.74
101352,Леспромхозная,ул. Леспромхозная,Леспромхозовская,82.76
101366,3-х Коммунистов,ул. 3-х Коммунистов,3 Коммунистов,92.86
101854,Пр-кт Молодедный,пр-кт Молодедный,пр-кт Молодежный,90.0
101856,Родникова,ул. Родникова,Родниковая,94.74
101920,кв-л Молодежный,ул. Кв-л Молодежный,Молодежный,80.0
102049,Галушкина,ул. Галушкина,Галкина,87.5
102112,Механизатов,ул. Механизатов,Механизаторов,91.67
102131,Микрор.Гоголя,ул. Микрор.Гоголя,Микр. Гоголя,88.0
102234,Бирюкова,ул. Бирюкова,Брюсова,80.0
102238,пр-д Ярморочный,пр-кт Д Ярморочный,пр-д Ярмарочный,91.67
102258,2А линия,ул. 2А линия,2 линия,93.33
102301,Анапская,ул. Анапская,Ангарская,82.35
102366,Крупинова,ул. Крупинова,Крупнова,94.12
102416,Боня-Бруевича,ул. Боня-Бруевича,Бонч-Бруевича,92.31
102511,Евгения никонова,ул. Евгения никонова,Евгения Никонова,93.75
102528,Железнодорожный,ул. Железнодорожный,Железнодорожная,86.67
102533,Автостроителей,ул. Автостроителей,Мостостроителей,82.76
102830,"Дубравная, 3лин.","ул. Дубравная, 3лин",Дубравная 3линия,90.32
102851,Гер.Юр.Смирнова,ул. Гер.Юр.Смирнова,Героя Ю.Смирнова,83.87
102908,Замкнутная,ул. Замкнутная,Замкнутая,94.74
103108,Тер. СНТ Сокол Сад №1,СНТ Тер.  Сокол Сад №1,тер.СНТ Сокол сад№1,88.24
103114,Им.Янки Купалы,ул. Им.Янки Купалы,Янки Купалы,88.0
103118,Назарова,ул. Назарова,Нартова,80.0
103141,пр-кт Корараблестроителей,пр-кт Корараблестроителей,пр-кт Кораблестроителей,94.44
103923,4-я Прокатная,ул. 4-я Прокатная,Прокатная,81.82
104048,пер.Песчаный,пер. Песчаный,пер.Песочный,87.5
104080,Маршала Василевского,ул. Маршала Василевского,Маршала Малиновского,80.0
104114,Карламаркса,ул. Карламаркса,Карла Маркса,86.96
104164,Ванева,ул. Ванева,Ванеева,92.31
104225,Гер.Сафронова,ул. Гер.Сафронова,Героя Сафронова,85.71
104276,Кабанова,ул. Кабанова,Кабакова,87.5
104300,Площ.Нефтяников,ул. Площ.Нефтяников,Нефтяников,80.0
104347,Колодезная,ул. Колодезная,Колхозная,84.21
104476,пр-т Музрукова,пр-кт Т Музрукова,пр.Музрукова,90.0
104718,Лесхозная,ул. Лесхозная,Лесхозская,84.21
104726,Генерала Тюленева,ул. Генерала Тюленева,Генерала Клюева,81.25
104727,Псковская,ул. Псковская,Московская,84.21
104741,11-Парковая,ул. 11-Парковая,Парковая,84.21
104807,Вячеслава Шишкина,ул. Вячеслава Шишкина,Вячеслава Шишкова,88.24
104874,Аэродроиная,ул. Аэродроиная,Аэродромная,90.91
104996,лн. 12-я,ул. Лн. 12-я,Лн. 9-я,80.0
104997,3-Интернационала,ул. 3-Интернационала,Интернациональная,84.85
105171,Львоская,ул. Львоская,Львовская,94.12
105219,2-ая Экономическая,ул. 2-ая Экономическая,1-ая Экономическая,94.44
105408,Маршала Рокоссовского К.Н.,ул. Маршала Рокоссовского К.Н,Маршала Рокоссовского,91.3
105485,Вожд. Революции,ул. Вожд. Революции,Вождей Революции,90.32
105494,Печерская,ул. Печерская,В.Печерская,90.0
105503,Банановая,ул. Банановая,Баранова,82.35
105620,Туманова,ул. Туманова,Фурманова,82.35
105758,пр-т Кораблестпоителей,пр-кт Т Кораблестпоителей,пр-т Кораблестроителей,94.74
105824,Ветлянская,ул. Ветлянская,Ветлужская,80.0
106030,Менчегорская,ул. Менчегорская,Мончегорская,91.67
106115,Совхоная,ул. Совхоная,Совхозная,94.12
106140,Гордннвская,ул. Гордннвская,Гордеевская,81.82
106270,Евсеева,ул. Евсеева,Елисеева,80.0
106342,Саврвсова,ул. Саврвсова,Саврасова,88.89
106502,2 микр-он,ул. 2 микр-он,2 мик-он,94.12
106586,Пекова,ул. Пекова,Пешкова,92.31
106791,им.Кирова,ул. Им.Кирова,Кирова,80.0
